2020-12-04_09.57.10
№    команда                     И     В    Н    П    З.м. 
2    Ливерпуль                   10    6    3    1    22   
3    Челси                       10    5    4    1    22   
1    Тоттенхэм Хотспур           10    6    3    1    21   
10   Астон Вилла                 9     5    0    4    20   
4    Лестер Сити                 10    6    0    4    19   
6    Саутгемптон                 10    5    2    3    19   
8    Эвертон                     10    5    1    4    19   
5    Вест Хэм Юнайтед            10    5    2    3    17   
9    Манчестер Юнайтед           9     5    1    3    16   
11   Манчестер Сити              9     4    3    2    15   
12   Лидс Юнайтед                10    4    2    4    15   
16   Брайтон энд Хоув Альбион    10    2    4    4    14   
13   Ньюкасл Юнайтед             10    4    2    4    12   
15   Кристал Пэлас               10    4    1    5    12   
7    Вулверхэмптон               10    5    2    3    11   
17   Фулхэм                      10    2    1    7    11   
14   Арсенал                     10    4    1    5    10   
18   Вест Бромвич Альбион        10    1    3    6    7    
19   Бёрнли                      9     1    2    6    4    
20   Шеффилд Юнайтед             10    0    1    9    4    
